记录类型,运行时间,源目录,目标目录,总任务数,成功数,失败数,序号,状态,相对路径,源文件MD5(SRC_MD5),目标文件MD5(DST_MD5),错误信息
SUMMARY,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,,,,,,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,1,OK,data\csv\new_03.json,2ce47d8cbe32968c807ff0a091b96c4b,2ce47d8cbe32968c807ff0a091b96c4b,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,2,OK,data\csv\new_11.ini,eaa50cac71c2f923829f1cd93bc64b3f,eaa50cac71c2f923829f1cd93bc64b3f,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,3,OK,data\csv\new_19.txt,cf3598cbbc097761f767aa41838ab7bf,cf3598cbbc097761f767aa41838ab7bf,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,4,OK,data\json\new_04.md,541493a7bd6f66d2c6b09feeab4f17a2,541493a7bd6f66d2c6b09feeab4f17a2,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,5,OK,data\json\new_12.log,5787da53770821f77fc7849c751e4674,5787da53770821f77fc7849c751e4674,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,6,OK,data\json\new_20.csv,6278a611c249699d419c0e0484a1a6fb,6278a611c249699d419c0e0484a1a6fb,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,7,OK,data\metrics\updated_04.ini,1a6e0d69bc881e3a3cb44fd97a4c4802,1a6e0d69bc881e3a3cb44fd97a4c4802,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,8,OK,data\metrics\updated_12.txt,c9512dd7759e025565f45e12e58fbca5,c9512dd7759e025565f45e12e58fbca5,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,9,OK,docs\new_01.txt,e2511412a8becda2da703e9334b62088,e2511412a8becda2da703e9334b62088,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,10,OK,docs\new_09.json,764dbcb02fa4cde27d503cd48e9e49e7,764dbcb02fa4cde27d503cd48e9e49e7,
DETAIL,2026-03-31 16:08:42,D:\Desktop\技术\增量备份\简单测试集\源目录,D:\Desktop\技术\增量备份\简单测试集\目标目录,43,43,0,11,OK,docs\new_17.ini,2fee889d6d146f96f24c95e08e8bf206,2fee889d6d146f96f24c95e08e8bf206,
